#;Country, Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;Tests/1M pop;Population
141;Guyana;63,518;27;1,228;;62,2;51;90;1;80,046;1,548;600,94;757,312;793,517
142;Sudan;62,135;18;4,933;2;N/A;N/A;N/A;;1,359;108;562,941;12,311;45,727,331
143;New Caledonia;60,749;;312;;60,231;;206;9;209,094;1,074;98,964;340,627;290,535
144;Bhutan;59,358;84;21;;58,856;233;481;2;75,404;27;2,301,399;2,923,525;787,2
145;Mauritania;58,699;4;982;;57,7;4;17;;12,044;201;805,551;165,281;4,873,830
146;Belize;57,561;26;676;;56,654;14;231;6;140,095;1,645;542,191;1,319,610;410,872
147;Cabo Verde;56,036;5;401;;55,564;2;71;23;98,817;707;400,982;707,113;567,069
148;Syria;55,833;4;3,15;;52,243;20;440;;3,054;172;146,269;8,001;18,280,493
149;Gabon;47,602;;304;;47,285;;13;;20,5;131;1,593,622;686,293;2,322,072
150;Papua New Guinea;43,821;;650;;43,133;;38;7;4,733;70;249,149;26,912;9,257,967
151;Seychelles;42,474;;166;;41,727;;581;;427,029;1,669;;;99,464
152;Curaçao;42,241;;274;;41,612;;355;3;255,504;1,657;496,693;3,004,361;165,324
153;Andorra;41,717;368;153;;41,021;332;543;14;538,339;1,974;249,838;3,224,049;77,492
154;Burundi;40,552;;38;;773;;39,741;;3,234;3;345,742;27,571;12,540,281
155;Mauritius;37,714;17;990;;36,009;47;715;;29,565;776;358,675;281,172;1,275,641
156;Mayotte;37,363;;187;;2,964;;34,212;;131,149;656;176,919;621,01;284,889
157;Togo;36,995;2;273;;36,702;5;20;;4,284;32;731,516;84,719;8,634,650
158;Guinea;36,459;;440;;35,976;;43;8;2,645;32;660,107;47,882;13,786,163
159;Aruba;34,846;;212;;34,516;;118;3;323,854;1,97;177,885;1,653,237;107,598
160;Faeroe Islands;34,658;;28;;7,693;;26,937;5;704,374;569;778;15,811,723;49,204
161;Tanzania;33,872;;803;;N/A;N/A;N/A;7;539;13;;;62,854,783
162;Bahamas;33,626;25;798;;32,384;10;444;;84,036;1,994;229,817;574,341;400,14
163;Lesotho;32,91;;697;;24,155;;8,058;;15,142;321;431,221;198,407;2,173,414
164;Mali;30,874;14;732;;29,978;5;164;;1,448;34;668,249;31,343;21,320,611
165;Haiti;30,703;6;835;;29,555;33;313;;2,634;72;132,422;11,359;11,657,604
166;Isle of Man;28,416;;87;;26,794;;1,535;;330,961;1,013;150,753;1,755,821;85,859
167;Benin;26,952;;163;;25,506;;1,283;5;2,121;13;604,31;47,562;12,705,635
168;Somalia;26,485;;1,35;;13,182;;11,953;;1,585;81;400,466;23,971;16,706,482
169;Congo;24,079;;385;;20,178;;3,516;;4,175;67;347,815;60,309;5,767,227
170;Saint Lucia;23,538;56;368;;22,953;32;217;;127,118;1,987;143,281;773,793;185,167
171;Timor-Leste;22,879;4;130;;22,73;;19;;16,767;95;263,136;192,842;1,364,516
172;Cayman Islands;22,828;605;27;;8,553;;14,248;1;340,016;402;222,773;3,318,136;67,138
173;Burkina Faso;20,853;;382;;20,439;;32;;950;17;248,995;11,341;21,954,577
174;Nicaragua;18,491;;225;;4,225;;14,041;;2,732;33;;;6,769,185
175;Gibraltar;17,837;;102;;16,579;;1,156;;529,712;3,029;534,283;15,866,807;33,673
176;South Sudan;17,49;3;138;;13,514;;3,838;1;1,53;12;385,179;33,686;11,434,551
177;Tajikistan;17,388;;124;;17,264;;0;;1,751;12;;;9,930,626
178;Liechtenstein;17,225;13;84;;17,058;27;83;;449,399;2,192;102,174;2,665,710;38,329
179;San Marino;16,561;37;115;;16,175;23;271;4;486,202;3,376;152,231;4,469,233;34,062
180;Equatorial Guinea;15,908;;183;;15,701;;24;5;10,694;123;316,462;212,746;1,487,512
181;Solomon Islands;15,677;;141;;14,109;;1,427;2;21,841;196;5,117;7,129;717,782
182;Djibouti;15,631;;189;;15,427;;15;;15,41;186;305,941;301,609;1,014,364
183;Grenada;14,984;241;220;;14,229;118;535;4;132,041;1,939;151,734;1,337,099;113,48
184;CAR;14,649;;113;;6,859;;7,677;2;2,939;23;81,294;16,312;4,983,839
185;Bermuda;13,832;344;131;;13,289;308;412;;223,616;2,118;885,175;14,310,253;61,856
186;Dominica;12,161;;63;;12,025;;73;;168,169;871;191,084;2,642,421;72,314
187;Gambia;11,995;;365;;11,591;;39;;4,72;144;155,686;61,265;2,541,191
188;Greenland;11,971;;21;;2,761;;9,189;4;210,198;369;164,926;2,895,928;56,951
189;Monaco;11,869;45;54;;11,672;19;143;4;298,569;1,358;54,96;1,382,537;39,753
190;Yemen;11,819;;2,149;;9,009;;661;23;381;69;265,253;8,548;31,031,025
191;Tonga;10,494;;11;;9,255;;1,228;;97,263;102;486,186;4,506,187;107,893
192;Saint Martin;10,462;;63;;1,399;;9;7;262,363;1,58;112,382;2,818,287;39,876
193;Samoa;10,21;;20;;1,605;;8,585;4;50,838;100;73,313;365,043;200,834
194;Sint Maarten;10,065;;86;;9,913;;66;10;229,957;1,965;62,056;1,417,807;43,769
195;Caribbean Netherlands;9,804;3;34;;9,714;6;56;;367,604;1,275;30,126;1,129,584;26,67
196;Eritrea;9,735;1;103;;9,631;;1;;2,677;28;23,693;6,515;3,636,487
197;Niger;8,957;3;309;;8,55;19;98;1;347;12;250,88;9,719;25,813,384
198;Guinea-Bissau;8,21;8;171;;7,53;2;509;6;3,998;83;134,817;65,658;2,053,324
199;Comoros;8,1;;160;;7,933;;7;;8,964;177;;;903,584
200;Sierra Leone;7,681;;125;;N/A;N/A;N/A;;928;15;259,958;31,416;8,274,588
201;Antigua and Barbuda;7,654;28;137;1;7,464;21;53;1;76,989;1,378;18,901;190,118;99,417
202;Vanuatu;7,622;32;14;1;7,137;114;471;3;23,796;44;24,976;77,974;320,311
203;Liberia;7,434;;294;;5,747;;1,393;2;1,409;56;139,824;26,503;5,275,742
204;Chad;7,412;;193;;4,874;;2,345;;429;11;191,341;11,066;17,290,330
205;St. Vincent Grenadines;6,786;;106;;6,641;;39;;60,814;950;98,944;886,698;111,587
206;British Virgin Islands;6,355;;62;;N/A;N/A;N/A;1;207,68;2,026;103,049;3,367,614;30,6
207;Turks and Caicos;5,995;;36;;5,918;;41;4;151,091;907;497,269;12,532,613;39,678
208;Sao Tome and Principe;5,964;;73;;5,884;;7;;26,316;322;29,036;128,123;226,626
209;Saint Kitts and Nevis;5,57;4;43;;5,519;;8;;103,359;798;70,707;1,312,062;53,89
210;Cook Islands;5,229;29;1;;4,99;49;238;;297,204;57;16,982;965,215;17,594
211;Palau;4,69;;6;;4,043;;641;1;256,958;329;46,722;2,559,829;18,252
212;St. Barth;4,544;;6;;N/A;N/A;N/A;;457,511;604;78,646;7,918,445;9,932
213;Kiribati;3,089;5;13;;2,601;;475;3;25,152;106;;;122,812
214;Anguilla;2,788;;9;;2,766;;13;4;182,832;590;51,382;3,369,532;15,249
215;Saint Pierre Miquelon;2,701;;1;;2,449;;251;1;470,394;174;23,446;4,083,246;5,742
216;Diamond Princess;712;;13;;699;;0;;;;;;
217;Wallis and Futuna;454;;7;;438;;9;;41,736;644;20,508;1,885,273;10,878
218;Montserrat;371;98;2;;198;17;171;;74,23;400;10,135;2,027,811;4,998
219;Falkland Islands;195;67;;;N/A;N/A;N/A;;53,191;;8,632;2,354,610;3,666
220;Macao;82;;;;82;;0;;123;;5,375;8,076;665,578
221;Vatican City;29;;;;29;;0;;36,025;;;;805
222;Marshall Islands;17;;;;14;;3;;284;;;;59,923
223;Western Sahara;10;;1;;9;;0;;16;2;;;624,278
224;MS Zaandam;9;;2;;7;;0;;;;;;
225;Niue;9;;;;8;1;1;;5,468;;;;1,646
226;Micronesia;7;;;;1;;6;;60;;;;117,236
227;Nauru;5;;;;3;;2;;457;;;;10,949
228;Saint Helena;2;;;;2;;0;;327;;;;6,11
