,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
164,Mali,30874,14,732,0.0,29978,5,164,0,1448,34,668249,31343,21320611
165,Haiti,30703,6,835,0.0,29555,33,313,0,2634,72,132422,11359,11657604
166,Isle of Man,28416,0,87,0.0,26794,0,1535,0,330961,1013,150753,1755821,85859
167,Benin,26952,0,163,0.0,25506,0,1283,5,2121,13,60431,47562,12705635
168,Somalia,26485,0,135,0.0,13182,0,11953,0,1585,81,400466,23971,16706482
169,Congo,24079,0,385,0.0,20178,0,3516,0,4175,67,347815,60309,5767227
170,Saint Lucia,23538,56,368,0.0,22953,32,217,0,127118,1987,143281,773793,185167
171,Timor-Leste,22879,4,130,0.0,2273,0,19,0,16767,95,263136,192842,1364516
172,Cayman Islands,22828,605,27,0.0,8553,0,14248,1,340016,402,222773,3318136,67138
173,Burkina Faso,20853,0,382,0.0,20439,0,32,0,950,17,248995,11341,21954577
174,Nicaragua,18491,0,225,0.0,4225,0,14041,0,2732,33,0,0,6769185
175,Gibraltar,17837,0,102,0.0,16579,0,1156,0,529712,3029,534283,15866807,33673
176,South Sudan,1749,3,138,0.0,13514,0,3838,1,153,12,385179,33686,11434551
177,Tajikistan,17388,0,124,0.0,17264,0,0,0,1751,12,0,0,9930626
178,Liechtenstein,17225,13,84,0.0,17058,27,83,0,449399,2192,102174,2665710,38329
179,San Marino,16561,37,115,0.0,16175,23,271,4,486202,3376,152231,4469233,34062
180,Equatorial Guinea,15908,0,183,0.0,15701,0,24,5,10694,123,316462,212746,1487512
181,Solomon Islands,15677,0,141,0.0,14109,0,1427,2,21841,196,5117,7129,717782
182,Djibouti,15631,0,189,0.0,15427,0,15,0,1541,186,305941,301609,1014364
183,Grenada,14984,241,220,0.0,14229,118,535,4,132041,1939,151734,1337099,11348
184,CAR,14649,0,113,0.0,6859,0,7677,2,2939,23,81294,16312,4983839
185,Bermuda,13832,344,131,0.0,13289,308,412,0,223616,2118,885175,14310253,61856
186,Dominica,12161,0,63,0.0,12025,0,73,0,168169,871,191084,2642421,72314
187,Gambia,11995,0,365,0.0,11591,0,39,0,472,144,155686,61265,2541191
188,Greenland,11971,0,21,0.0,2761,0,9189,4,210198,369,164926,2895928,56951
189,Monaco,11869,45,54,0.0,11672,19,143,4,298569,1358,5496,1382537,39753
190,Yemen,11819,0,2149,0.0,9009,0,661,23,381,69,265253,8548,31031025
191,Tonga,10494,0,11,0.0,9255,0,1228,0,97263,102,486186,4506187,107893
192,Saint Martin,10462,0,63,0.0,1399,0,9,7,262363,158,112382,2818287,39876
193,Samoa,1021,0,20,0.0,1605,0,8585,4,50838,100,73313,365043,200834
194,Sint Maarten,10065,0,86,0.0,9913,0,66,10,229957,1965,62056,1417807,43769
195,Caribbean Netherlands,9804,3,34,0.0,9714,6,56,0,367604,1275,30126,1129584,2667
196,Eritrea,9735,1,103,0.0,9631,0,1,0,2677,28,23693,6515,3636487
197,Niger,8957,3,309,0.0,855,19,98,1,347,12,25088,9719,25813384
198,Guinea-Bissau,821,8,171,0.0,753,2,509,6,3998,83,134817,65658,2053324
199,Comoros,81,0,160,0.0,7933,0,7,0,8964,177,0,0,903584
200,Sierra Leone,7681,0,125,0.0,0,0,0,0,928,15,259958,31416,8274588
